K,C,X,Y,R,S,PE,ref_EDP
64,3,224,224,3,3,10,126096.863
64,3,224,224,3,3,69,19145.104000000003
64,3,224,224,3,3,149,13203.52
64,3,224,224,3,3,171,19137.68
64,3,224,224,3,3,222,7261.936000000001
64,3,224,224,3,3,270,7261.936000000001
64,3,224,224,3,3,309,7261.936000000001
64,3,224,224,3,3,367,7261.936000000001
64,3,224,224,3,3,409,7261.936000000001
64,3,224,224,3,3,480,7261.936000000001
128,64,112,112,1,1,42,34066112122.5
128,64,112,112,1,1,87,16696695036.0
128,64,112,112,1,1,132,11048060188.800001
128,64,112,112,1,1,188,7922328523.799999
128,64,112,112,1,1,216,6931992558.599999
128,64,112,112,1,1,270,5432452266.0
128,64,112,112,1,1,342,4295926200.0
128,64,112,112,1,1,376,3961205707.7999997
128,64,112,112,1,1,407,3621639449.1
128,64,112,112,1,1,473,3157415717.5
128,64,112,112,3,3,27,11728702.48
128,64,112,112,3,3,68,4696364.56
128,64,112,112,3,3,104,2981317.71
128,64,112,112,3,3,175,1961566.48
128,64,112,112,3,3,223,1489488.24
128,64,112,112,3,3,281,1180195.5999999999
128,64,112,112,3,3,328,1180195.5999999999
128,64,112,112,3,3,370,896284.4
128,64,112,112,3,3,409,854624.4
128,64,112,112,3,3,481,737001.23
128,128,56,56,1,1,45,6376015402.2
128,128,56,56,1,1,59,4830554938.160001
128,128,56,56,1,1,143,2082029586.3
128,128,56,56,1,1,166,1748064548.8500001
128,128,56,56,1,1,212,1328381988.3
128,128,56,56,1,1,272,908783186.75
128,128,56,56,1,1,349,797011191.0
128,128,56,56,1,1,355,797016485.6999999
128,128,56,56,1,1,436,683180435.6999999
128,128,56,56,1,1,470,604081937.2
256,128,56,56,1,1,34,19098232069.77
256,128,56,56,1,1,59,12920916347.800001
256,128,56,56,1,1,146,5397794992.08
256,128,56,56,1,1,155,4922341387.1
256,128,56,56,1,1,223,3481431967.44
256,128,56,56,1,1,252,2973879865.7000003
256,128,56,56,1,1,302,2461145657.7000003
256,128,56,56,1,1,377,2050979750.6000001
256,128,56,56,1,1,428,1794648412.1000001
256,128,56,56,1,1,492,1615177133.1000001
256,128,56,56,3,3,46,29364795.099999998
256,128,56,56,3,3,61,22097921.45
256,128,56,56,3,3,103,13566664.14
256,128,56,56,3,3,151,8634877.74
256,128,56,56,3,3,234,5818595.499999999
256,128,56,56,3,3,269,4901199.5600000005
256,128,56,56,3,3,325,4034792.4999999995
256,128,56,56,3,3,367,3699267.65
256,128,56,56,3,3,434,3083430.9
256,128,56,56,3,3,466,2835777.18
256,256,28,28,1,1,35,4678970699.25
256,256,28,28,1,1,64,2519443588.5
256,256,28,28,1,1,145,1151627911.25
256,256,28,28,1,1,175,857627728.65
256,256,28,28,1,1,227,719845508.5
256,256,28,28,1,1,253,652360580.5
256,256,28,28,1,1,327,511776395.25
256,256,28,28,1,1,355,472407049.0
256,256,28,28,1,1,421,393696600.75
256,256,28,28,1,1,469,354327254.5
256,256,28,28,3,3,19,190731876.6
256,256,28,28,3,3,62,61314699.0
256,256,28,28,3,3,149,24064876.85
256,256,28,28,3,3,199,18845931.650000002
256,256,28,28,3,3,225,15976115.4
256,256,28,28,3,3,288,12523098.6
256,256,28,28,3,3,307,11967304.799999999
256,256,28,28,3,3,388,9413018.4
256,256,28,28,3,3,408,9202845.05
256,256,28,28,3,3,479,7721986.2
512,256,28,28,1,1,43,10978558057.5
512,256,28,28,1,1,73,6518522550.3
512,256,28,28,1,1,118,4116964969.5000005
512,256,28,28,1,1,178,2744646351.9
512,256,28,28,1,1,236,2058487043.1000001
512,256,28,28,1,1,281,1699124962.5000002
512,256,28,28,1,1,328,1486701294.15
512,256,28,28,1,1,388,1223005305.0
512,256,28,28,1,1,419,1143621639.75
512,256,28,28,1,1,498,972141071.1
512,256,28,28,3,3,12,1080158617.3999999
512,256,28,28,3,3,100,133021452.60000001
512,256,28,28,3,3,136,98258048.0
512,256,28,28,3,3,187,73214892.10000001
512,256,28,28,3,3,216,62135055.8
512,256,28,28,3,3,297,44303852.0
512,256,28,28,3,3,304,43937422.2
512,256,28,28,3,3,363,37921465.4
512,256,28,28,3,3,424,31713651.0
512,256,28,28,3,3,471,28446582.2
512,512,14,14,1,1,23,8153863966.559999
512,512,14,14,1,1,69,2747502325.6
512,512,14,14,1,1,107,1772584652.6399999
512,512,14,14,1,1,186,1012933272.88
512,512,14,14,1,1,226,810328248.16
512,512,14,14,1,1,279,671011902.24
512,512,14,14,1,1,302,607751485.1999999
512,512,14,14,1,1,381,481198856.64
512,512,14,14,1,1,449,405171189.52
512,512,14,14,1,1,487,387811403.44
512,512,14,14,3,3,28,1759159325.0
512,512,14,14,3,3,74,665653507.4
512,512,14,14,3,3,117,424633203.4
512,512,14,14,3,3,157,321497974.0
512,512,14,14,3,3,211,237945644.29999998
512,512,14,14,3,3,293,172965084.6
512,512,14,14,3,3,309,158912445.29999998
512,512,14,14,3,3,397,130930978.5
512,512,14,14,3,3,437,114651218.39999999
512,512,14,14,3,3,480,105013041.7
2048,512,14,14,1,1,29,82320043177.8
2048,512,14,14,1,1,87,27494432319.600002
2048,512,14,14,1,1,113,21201155037.0
2048,512,14,14,1,1,182,13085096720.2
2048,512,14,14,1,1,249,9855248331.5
2048,512,14,14,1,1,287,8379332478.700001
2048,512,14,14,1,1,337,7122763620.400001
2048,512,14,14,1,1,377,6625376835.400001
2048,512,14,14,1,1,450,5292680647.8
2048,512,14,14,1,1,497,4803728063.8
2048,512,14,14,3,3,50,15354303822.000002
2048,512,14,14,3,3,94,8237226082.8
2048,512,14,14,3,3,103,7488402121.200001
2048,512,14,14,3,3,168,4661925147.6
2048,512,14,14,3,3,202,3876126378.0
2048,512,14,14,3,3,271,2915619478.6
2048,512,14,14,3,3,301,2584423663.1
2048,512,14,14,3,3,374,2060396797.2
2048,512,14,14,3,3,405,1919023906.8000002
2048,512,14,14,3,3,492,1576381692.6000001
1000,2048,1,1,1,1,24,1500893557.8000002
1000,2048,1,1,1,1,56,643173248.4
1000,2048,1,1,1,1,139,263343607.8
1000,2048,1,1,1,1,199,186791049.9
1000,2048,1,1,1,1,225,160811277.9
1000,2048,1,1,1,1,278,131689357.80000001
1000,2048,1,1,1,1,343,105358507.80000001
1000,2048,1,1,1,1,395,91332941.7
1000,2048,1,1,1,1,443,82853168.0
1000,2048,1,1,1,1,494,74446089.9
64,3,224,224,7,7,25,289473.77
64,3,224,224,7,7,56,146206.295
64,3,224,224,7,7,131,73455.1
64,3,224,224,7,7,153,73455.1
64,3,224,224,7,7,238,37462.101
64,3,224,224,7,7,274,37462.101
64,3,224,224,7,7,325,37469.955
64,3,224,224,7,7,378,37462.101
64,3,224,224,7,7,440,37462.101
64,3,224,224,7,7,452,37462.101
64,64,56,56,3,3,16,2711279.5
64,64,56,56,3,3,85,566711.5
64,64,56,56,3,3,104,430324.5
64,64,56,56,3,3,181,258665.0
64,64,56,56,3,3,241,215361.71999999997
64,64,56,56,3,3,278,171659.5
64,64,56,56,3,3,305,165780.75
64,64,56,56,3,3,392,118750.75
64,64,56,56,3,3,415,130508.25
64,64,56,56,3,3,492,118750.75
256,64,56,56,1,1,31,9564017808.6
256,64,56,56,1,1,96,2856151789.2
256,64,56,56,1,1,127,2229685375.08
256,64,56,56,1,1,194,1428420050.1
256,64,56,56,1,1,239,1165229263.47
256,64,56,56,1,1,267,1041017440.5
256,64,56,56,1,1,318,910884303.9
256,64,56,56,1,1,360,797021780.4
256,64,56,56,1,1,422,664198936.1999999
256,64,56,56,1,1,488,597803398.1999999
64,256,56,56,1,1,14,28890088094.56
64,256,56,56,1,1,90,4739793238.88
64,256,56,56,1,1,147,2934163716.96
64,256,56,56,1,1,173,2426338285.84
64,256,56,56,1,1,205,2031781911.6
64,256,56,56,1,1,286,1472926101.0
64,256,56,56,1,1,318,1354277244.88
64,256,56,56,1,1,381,1128565682.72
64,256,56,56,1,1,415,1015705965.6800001
64,256,56,56,1,1,452,902830504.8
128,256,56,56,1,1,25,38280667982.5
128,256,56,56,1,1,74,12463485262.5
128,256,56,56,1,1,104,8902494542.5
128,256,56,56,1,1,167,5786636533.75
128,256,56,56,1,1,241,4022309639.7000003
128,256,56,56,1,1,255,3971203482.3999996
128,256,56,56,1,1,306,3047736700.86
128,256,56,56,1,1,353,2670769653.75
128,256,56,56,1,1,404,2317528903.79
128,256,56,56,1,1,456,2022613706.7499998
512,256,56,56,1,1,40,153671214937.6
512,256,56,56,1,1,70,84822928441.3
512,256,56,56,1,1,120,52218393638.4
512,256,56,56,1,1,155,40922176140.8
512,256,56,56,1,1,228,26855232915.2
512,256,56,56,1,1,277,23125409248.0
512,256,56,56,1,1,303,20887464499.2
512,256,56,56,1,1,375,17050968672.0
512,256,56,56,1,1,438,14680858802.1
512,256,56,56,1,1,487,13214918860.800001
256,512,28,28,1,1,35,15998838509.82
256,512,28,28,1,1,85,6679126283.16
256,512,28,28,1,1,125,4621097181.940001
256,512,28,28,1,1,167,3533728891.8
256,512,28,28,1,1,238,2407604378.98
256,512,28,28,1,1,269,2173261838.7
256,512,28,28,1,1,337,1708627180.9
256,512,28,28,1,1,379,1553309749.5
256,512,28,28,1,1,408,1420160400.74
256,512,28,28,1,1,488,1214791425.96
1024,512,28,28,1,1,24,194953531995.19998
1024,512,28,28,1,1,85,55701036732.0
1024,512,28,28,1,1,143,33390368228.8
1024,512,28,28,1,1,200,23825358524.0
1024,512,28,28,1,1,249,19381399831.199997
1024,512,28,28,1,1,273,17458027752.0
1024,512,28,28,1,1,308,15309666389.599998
1024,512,28,28,1,1,381,12378443660.0
1024,512,28,28,1,1,418,11400812737.599998
1024,512,28,28,1,1,488,9772287500.8
256,256,14,14,3,3,43,72840898.39999999
256,256,14,14,3,3,98,32853742.4
256,256,14,14,3,3,137,23682173.75
256,256,14,14,3,3,179,18228664.0
256,256,14,14,3,3,214,15243606.979999999
256,256,14,14,3,3,279,11884610.870000001
256,256,14,14,3,3,327,9909860.399999999
256,256,14,14,3,3,370,9066916.399999999
256,256,14,14,3,3,413,8387292.8
256,256,14,14,3,3,458,7260618.06
512,1024,14,14,1,1,20,34128712407.8
512,1024,14,14,1,1,69,9988900823.8
512,1024,14,14,1,1,133,5137162077.3
512,1024,14,14,1,1,157,4471229604.599999
512,1024,14,14,1,1,219,3163160996.6
512,1024,14,14,1,1,297,2330760336.5
512,1024,14,14,1,1,311,2283340195.1
512,1024,14,14,1,1,399,1712400630.8999999
512,1024,14,14,1,1,429,1644117219.8999999
512,1024,14,14,1,1,470,1473700672.0
2048,512,7,7,1,1,11,45135297638.92
2048,512,7,7,1,1,87,5724157505.94
2048,512,7,7,1,1,135,3676286789.54
2048,512,7,7,1,1,198,2534545470.04
2048,512,7,7,1,1,224,2206786099.72
2048,512,7,7,1,1,267,1862488677.34
2048,512,7,7,1,1,344,1448209992.2
2048,512,7,7,1,1,361,1388301644.22
2048,512,7,7,1,1,431,1172681619.34
2048,512,7,7,1,1,453,1103546981.7
2048,1024,14,14,1,1,27,326260290535.2
2048,1024,14,14,1,1,58,152397921664.80002
2048,1024,14,14,1,1,102,88004451712.8
2048,1024,14,14,1,1,180,49368369741.6
2048,1024,14,14,1,1,250,35240546471.200005
2048,1024,14,14,1,1,287,30663664066.0
2048,1024,14,14,1,1,312,28824770374.4
2048,1024,14,14,1,1,351,25145015184.8
2048,1024,14,14,1,1,446,20238674932.0
2048,1024,14,14,1,1,498,17785504805.600002
512,2048,7,7,1,1,50,10227366369.0
512,2048,7,7,1,1,80,6392111437.8
512,2048,7,7,1,1,138,3741732013.7999997
512,2048,7,7,1,1,165,3167549424.6
512,2048,7,7,1,1,211,2494494637.7999997
512,2048,7,7,1,1,266,1924328980.2
512,2048,7,7,1,1,345,1496704737.0
512,2048,7,7,1,1,391,1340800065.0
512,2048,7,7,1,1,430,1198646423.7
512,2048,7,7,1,1,481,1077840188.7
512,512,7,7,3,3,31,1591287627.8
512,512,7,7,3,3,66,739924980.5999999
512,512,7,7,3,3,134,369945211.0
512,512,7,7,3,3,198,249790190.7
512,512,7,7,3,3,220,223195427.70000002
512,512,7,7,3,3,297,164109534.89999998
512,512,7,7,3,3,310,157922380.20000002
512,512,7,7,3,3,352,138716611.0
512,512,7,7,3,3,428,117105021.49999999
512,512,7,7,3,3,459,105870860.2
