K,C,X,Y,R,S
1,96,112,112,5,5
1,128,112,112,5,5
1,160,112,112,5,5
1,192,112,112,5,5
1,168,112,112,5,5
1,224,112,112,5,5
1,280,112,112,5,5
1,336,112,112,5,5
1,448,112,112,5,5
1,560,112,112,5,5
1,672,112,112,5,5
1,384,112,112,5,5
1,512,112,112,5,5
1,640,112,112,5,5
1,768,112,112,5,5
1,1024,112,112,5,5
1,1280,112,112,5,5
1,1536,112,112,5,5
1,96,7,7,7,7
1,128,7,7,7,7
1,160,7,7,7,7
1,192,7,7,7,7
1,168,7,7,7,7
1,224,7,7,7,7
1,280,7,7,7,7
1,336,7,7,7,7
1,448,7,7,7,7
1,560,7,7,7,7
1,672,7,7,7,7
1,384,7,7,7,7
1,512,7,7,7,7
1,640,7,7,7,7
1,768,7,7,7,7
1,1024,7,7,7,7
1,1280,7,7,7,7
1,1536,7,7,7,7
1,96,14,14,7,7
1,128,14,14,7,7
1,160,14,14,7,7
1,192,14,14,7,7
1,168,14,14,7,7
1,224,14,14,7,7
1,280,14,14,7,7
1,336,14,14,7,7
1,448,14,14,7,7
1,560,14,14,7,7
1,672,14,14,7,7
1,384,14,14,7,7
1,512,14,14,7,7
1,640,14,14,7,7
1,768,14,14,7,7
1,1024,14,14,7,7
1,1280,14,14,7,7
1,1536,14,14,7,7
1,96,28,28,7,7
1,128,28,28,7,7
1,160,28,28,7,7
1,192,28,28,7,7
1,168,28,28,7,7
1,224,28,28,7,7
1,280,28,28,7,7
1,336,28,28,7,7
1,448,28,28,7,7
1,560,28,28,7,7
1,672,28,28,7,7
1,384,28,28,7,7
1,512,28,28,7,7
1,640,28,28,7,7
1,768,28,28,7,7
1,1024,28,28,7,7
1,1280,28,28,7,7
1,1536,28,28,7,7
1,96,56,56,7,7
1,128,56,56,7,7
1,160,56,56,7,7
1,192,56,56,7,7
1,168,56,56,7,7
1,224,56,56,7,7
1,280,56,56,7,7
1,336,56,56,7,7
1,448,56,56,7,7
1,560,56,56,7,7
1,672,56,56,7,7
1,384,56,56,7,7
1,512,56,56,7,7
1,640,56,56,7,7
1,768,56,56,7,7
1,1024,56,56,7,7
1,1280,56,56,7,7
1,1536,56,56,7,7
1,96,112,112,7,7
1,128,112,112,7,7
1,160,112,112,7,7
1,192,112,112,7,7
1,168,112,112,7,7
1,224,112,112,7,7
1,280,112,112,7,7
1,336,112,112,7,7
1,448,112,112,7,7
1,560,112,112,7,7
1,672,112,112,7,7
1,384,112,112,7,7
1,512,112,112,7,7
1,640,112,112,7,7
1,768,112,112,7,7
1,1024,112,112,7,7
1,1280,112,112,7,7
1,1536,112,112,7,7
32,96,7,7,1,1
32,128,7,7,1,1
32,160,7,7,1,1
32,192,7,7,1,1
56,168,7,7,1,1
56,224,7,7,1,1
56,280,7,7,1,1
56,336,7,7,1,1
112,336,7,7,1,1
112,448,7,7,1,1
112,560,7,7,1,1
112,672,7,7,1,1
128,384,7,7,1,1
128,512,7,7,1,1
128,640,7,7,1,1
128,768,7,7,1,1
256,768,7,7,1,1
256,1024,7,7,1,1
256,1280,7,7,1,1
256,1536,7,7,1,1
32,96,14,14,1,1
32,128,14,14,1,1
32,160,14,14,1,1
32,192,14,14,1,1
56,168,14,14,1,1
56,224,14,14,1,1
56,280,14,14,1,1
56,336,14,14,1,1
112,336,14,14,1,1
112,448,14,14,1,1
112,560,14,14,1,1
112,672,14,14,1,1
128,384,14,14,1,1
128,512,14,14,1,1
128,640,14,14,1,1
128,768,14,14,1,1
256,768,14,14,1,1
256,1024,14,14,1,1
256,1280,14,14,1,1
256,1536,14,14,1,1
32,96,28,28,1,1
32,128,28,28,1,1
32,160,28,28,1,1
32,192,28,28,1,1
56,168,28,28,1,1
56,224,28,28,1,1
56,280,28,28,1,1
56,336,28,28,1,1
112,336,28,28,1,1
112,448,28,28,1,1
112,560,28,28,1,1
112,672,28,28,1,1
128,384,28,28,1,1
128,512,28,28,1,1
128,640,28,28,1,1
128,768,28,28,1,1
256,768,28,28,1,1
256,1024,28,28,1,1
256,1280,28,28,1,1
256,1536,28,28,1,1
32,96,56,56,1,1
32,128,56,56,1,1
32,160,56,56,1,1
32,192,56,56,1,1
56,168,56,56,1,1
56,224,56,56,1,1
56,280,56,56,1,1
56,336,56,56,1,1
112,336,56,56,1,1
112,448,56,56,1,1
112,560,56,56,1,1
112,672,56,56,1,1
128,384,56,56,1,1
128,512,56,56,1,1
128,640,56,56,1,1
128,768,56,56,1,1
256,768,56,56,1,1
256,1024,56,56,1,1
256,1280,56,56,1,1
256,1536,56,56,1,1
32,96,112,112,1,1
32,128,112,112,1,1
32,160,112,112,1,1
32,192,112,112,1,1
56,168,112,112,1,1
56,224,112,112,1,1
56,280,112,112,1,1
56,336,112,112,1,1
112,336,112,112,1,1
112,448,112,112,1,1
112,560,112,112,1,1
112,672,112,112,1,1
128,384,112,112,1,1
128,512,112,112,1,1
128,640,112,112,1,1
128,768,112,112,1,1
256,768,112,112,1,1
256,1024,112,112,1,1
256,1280,112,112,1,1
256,1536,112,112,1,1
